Division Name,Dept,Course,Name,Meth,Succ.,Compl,A,B,C,IPP,D,F,INP,W,Total
Fine Arts,MUSI,MUSI-215B,"Doyle, William",ECC,0.81,0.88,14.0,10,2,0,1,1,0,4,32
Fine Arts,MUSI,MUSI-220,"Blickfeldt, Kevin",ECC,0.88,0.88,6.0,1,0,0,0,0,0,1,8
Fine Arts,MUSI,MUSI-220,"Blickfeldt, Kevin",ONLIN,1.0,1.0,0.0,0,1,0,0,0,0,0,1
Fine Arts,MUSI,MUSI-222ABCD,"Blickfeldt, Kevin",ECC,0.95,0.95,18.0,0,0,0,0,0,0,1,19
Fine Arts,MUSI,MUSI-231A,"Chambers-Salazar, Polli",ECC,1.0,1.0,7.0,0,0,0,0,0,0,0,7
Fine Arts,MUSI,MUSI-231B,"Chambers-Salazar, Polli",ECC,0.88,0.88,6.0,1,0,0,0,0,0,1,8
Fine Arts,MUSI,MUSI-232,"Chambers-Salazar, Polli",ECC,1.0,1.0,1.0,2,0,0,0,0,0,0,3
Fine Arts,MUSI,MUSI-247,"Minei, Ryota",ECC,0.83,0.83,5.0,0,0,0,0,0,0,1,6
Fine Arts,MUSI,MUSI-253ABCD,"Nachef, Joanna",ECC,1.0,1.0,22.0,0,0,0,0,0,0,0,22
Fine Arts,MUSI,MUSI-257ABCD,"Kang, Soyun",ECC,1.0,1.0,2.0,0,0,0,0,0,0,0,2
Fine Arts,MUSI,MUSI-258ABCD,"Spadini, Natalia",ECC,0.89,0.89,7.0,4,5,0,0,0,0,2,18
Fine Arts,MUSI,MUSI-259ABCD,"Maldonado, Gabrielle",ECC,1.0,1.0,17.0,0,0,0,0,0,0,0,17
Fine Arts,MUSI,MUSI-265ABCD,"Vizcarra, Raymundo",ECC,1.0,1.0,18.0,0,0,0,0,0,0,0,18
Fine Arts,MUSI,MUSI-266ABCD,"Sills, David",ECC,1.0,1.0,5.0,0,0,0,0,0,0,0,5
Fine Arts,PHOT,MUSI-268ABCD,"Nachef, Joanna",ECC,1.0,1.0,6.0,0,0,0,0,0,0,0,6
Fine Arts,PHOT,MUSI-269ABCD,"Minei, Ryota",ECC,1.0,1.0,11.0,0,0,0,0,0,0,0,11
Fine Arts,PHOT,MUSI-284,"Minei, Ryota",ECC,0.74,0.95,12.0,1,1,0,0,4,0,1,19
Fine Arts,PHOT,MUSI-290,"Blickfeldt, Kevin",ECC,1.0,1.0,2.0,1,0,0,0,0,0,0,3
Fine Arts,PHOT,MUSI-290,"Moyer, David",ECC,1.0,1.0,1.0,0,0,0,0,0,0,0,1
