Division Name,Dept,Course,Name,Meth,Succ.,Compl,A,B,C,IPP,D,F,INP,W,Total
Business,BUS,BUS-151,"Porter, Sidney",ONLIN,0.73,0.95,7,13,7,0,5,3,0,2,37
Business,CIS,CIS-13,"Anaya, Martin",ONLIN,0.55,0.79,14,4,5,0,3,7,0,9,42
Business,CIS,CIS-13,"Lu, Khai",ONLIN,0.73,0.9,21,3,5,0,3,4,0,4,40
Business,CIS,CIS-13,"Perkins, Richard",HYBRD,0.76,0.82,11,9,5,0,0,2,0,6,33
Business,CIS,CIS-13,"Siddiqui, Junaid",HYBRD,0.73,0.95,9,15,6,2,2,4,4,2,44
Business,RE,RE-11,"Yeressian, John",ONLIN,0.69,0.98,28,1,2,0,2,11,0,1,45
Business,RE,RE-13,"Yeressian, John",ONLIN,0.56,0.98,25,0,0,0,6,13,0,1,45
Business,RE,RE-26,"DeLuca, Vincent",ONLIN,0.5,0.64,5,6,10,0,0,6,0,15,42
Fine Arts,ART,ART-110,"Bronte, Andrea",ONLIN,0.25,0.81,0,3,1,0,0,9,0,3,16
Fine Arts,ART,ART-110,"Phelps, Jennifer",ONLIN,0.7,0.89,11,5,3,0,2,3,0,3,27
Fine Arts,ART,ART-110,"Sheehan, Katherine",ONLIN,0.65,0.78,0,11,4,0,0,3,0,5,23
Fine Arts,ART,ART-130,"Ewing, Richard",ONLIN,0.67,0.83,5,3,4,0,1,2,0,3,18
Fine Arts,ART,ART-130,"Micallef, Andrea",ONLIN,0.42,0.79,6,1,1,0,0,7,0,4,19
Fine Arts,ART,ART-141,"Curtis Urlik, Joy",ONLIN,0.83,0.83,14,5,0,0,0,0,0,4,23
Fine Arts,ART,ART-141,"Zinoveva, Anna",ONLIN,0.75,0.83,19,4,3,1,0,2,1,6,36
Fine Arts,DANC,DANC-101,"Adamis, Elizabeth",ONLIN,0.93,1.0,36,0,2,0,0,3,0,0,41
Fine Arts,DANC,DANC-101,"Bryant, Jonathan",ONLIN,0.71,0.96,14,2,1,0,2,4,0,1,24
Fine Arts,DANC,DANC-103,"Berney, Daniel",ONLIN,0.32,0.5,5,0,2,0,0,3,1,11,22
Fine Arts,FILM,FILM-105,"Vafaeisefat, Elyusha",ONLIN,0.85,0.89,30,5,4,0,0,2,0,5,46
Fine Arts,FILM,FILM-110,"Agan, Alicia",ONLIN,0.91,0.95,23,14,2,0,1,1,0,2,43
Fine Arts,FILM,FILM-110,"Bogdanski, James",ONLIN,0.29,0.82,2,2,4,0,2,13,0,5,28
Fine Arts,FILM,FILM-110,"Keller, Max",ONLIN,0.67,0.93,28,12,5,0,0,17,0,5,67
Fine Arts,FILM,FILM-110,"Vafaeisefat, Elyusha",ECC,0.89,0.91,21,3,7,0,0,1,0,3,35
Fine Arts,MUSI,MUSI-101,"Chambers-Salazar, Polli",ONLIN,0.64,0.7,18,3,0,0,1,1,0,10,33
Fine Arts,MUSI,MUSI-111,"Doyle, William",ONLIN,0.86,0.97,18,7,5,0,1,3,0,1,35
Fine Arts,MUSI,MUSI-111,"Schulz, Patrick",ONLIN,0.79,0.9,22,6,3,0,0,4,0,4,39
Fine Arts,MUSI,MUSI-116,"Moyer, David",ONLIN,0.7,0.93,25,2,3,0,3,7,0,3,43
Fine Arts,MUSI,MUSI-117,"Doyle, William",ONLIN,0.98,0.98,28,9,2,0,0,0,0,1,40
Fine Arts,MUSI,MUSI-120,"Blickfeldt, Kevin",HYBRD,0.8,0.93,11,0,1,0,1,1,0,1,15
Fine Arts,MUSI,MUSI-131A,"Chambers-Salazar, Polli",ONLIN,0.42,0.47,17,2,0,0,0,2,0,24,45
Fine Arts,MUSI,MUSI-147A,"Minei, Ryota",ONLIN,0.87,0.87,10,1,16,0,0,0,0,4,31
Fine Arts,MUSI,MUSI-181A,"Katznelson, Marci",ONLIN,0.8,0.93,7,1,4,0,0,2,0,1,15
Fine Arts,MUSI,MUSI-220,"Blickfeldt, Kevin",HYBRD,0.33,0.67,1,0,0,0,0,1,0,1,3
Fine Arts,PHOT,PHOT-101,"Trine, Evan",ONLIN,0.76,0.88,14,5,0,0,0,3,0,3,25
Fine Arts,PHOT,PHOT-150,"Naumann, Sonya",ONLIN,1.0,1.0,12,3,0,0,0,0,0,0,15
Fine Arts,PHOT,PHOT-150,"Nelson, Mark",ONLIN,0.73,1.0,20,11,2,0,0,12,0,0,45
Fine Arts,PHOT,PHOT-150,"Schwenkmeyer, Karen",ONLIN,0.75,0.88,3,2,1,0,0,1,0,1,8
Fine Arts,THEA,THEA-103,"Harrison, Ayla",ONLIN,0.96,1.0,20,2,3,0,1,0,0,0,26
Health Sciences        & Athletics,AJ,AJ-100,"Causey, Roberto",ONLIN,0.86,0.86,3,2,1,0,0,0,0,1,7
Health Sciences        & Athletics,AJ,AJ-100,"Mason, Donald",ONLIN,0.87,1.0,12,5,3,0,1,2,0,0,23
Health Sciences        & Athletics,AJ,AJ-100,"Mauger, Dina",ONLIN,0.73,0.87,6,4,1,0,0,2,0,2,15
Health Sciences        & Athletics,AJ,AJ-103,"Serrano, Oscar",ONLIN,0.38,0.63,5,5,2,0,0,8,0,12,32
Health Sciences        & Athletics,AJ,AJ-111,"Mauger, Dina",ONLIN,0.67,0.95,9,3,2,0,0,6,0,1,21
Health Sciences        & Athletics,AJ,AJ-115,"Fields, Mark",ONLIN,0.5,0.65,9,0,1,0,0,3,0,7,20
Health Sciences        & Athletics,AJ,AJ-131,"Roberson, Andrea",ONLIN,0.2,1.0,2,0,0,0,0,8,0,0,10
Health Sciences        & Athletics,AJ,AJ-133,"Juckett, Brian",ONLIN,0.6,1.0,4,1,1,0,0,4,0,0,10
Health Sciences        & Athletics,AJ,AJ-170,"Roth, Matthew",ONLIN,0.54,1.0,4,1,2,0,0,6,0,0,13
Health Sciences        & Athletics,CH,CH-1,"Alvillar, Andrew",ONLIN,0.22,1.0,6,1,0,0,0,25,0,0,32
Health Sciences        & Athletics,CH,CH-1,"Fernley, Nathan",ECC,0.9,0.9,7,1,0,1,0,0,0,1,10
Health Sciences        & Athletics,CH,CH-1,"Hazell, Thomas",ONLIN,0.56,0.97,15,4,0,0,3,11,0,1,34
Health Sciences        & Athletics,CH,CH-1,"Lofgren, Dean",ONLIN,0.86,0.9,14,4,0,0,0,1,0,2,21
Health Sciences        & Athletics,CH,CH-1,"Pattison, Levalley",ONLIN,0.57,0.82,22,6,4,0,1,13,0,10,56
Health Sciences        & Athletics,FAID,FAID-1,"Calderon, Karla",ECC,1.0,1.0,21,4,1,0,0,0,0,0,26
Health Sciences        & Athletics,FAID,FAID-1,"Komai, Stacy",HSDUL,0.85,0.92,4,7,0,0,0,1,0,1,13
Health Sciences        & Athletics,FAID,FAID-1,"Peters, Kurt",ECC,0.88,0.88,26,3,0,0,0,0,0,4,33
Health Sciences        & Athletics,FTEC,FTEC-1,"Boies, Joshua",ONLIN,0.11,0.55,3,2,0,0,0,19,0,20,44
